BAC009S0005w0001	0530_01_1
BAC009S0005w0002	0530_01_10
BAC009S0005w0003	0530_01_11
BAC009S0005w0004	0530_01_12
BAC009S0005w0005	0530_01_13
BAC009S0005w0006	0530_01_14
BAC009S0005w0007	0530_01_15
BAC009S0005w0008	0530_01_16
BAC009S0005w0009	0530_01_17
BAC009S0005w0010	0530_01_18
BAC009S0005w0011	0530_01_19
BAC009S0005w0012	0530_01_2
BAC009S0005w0013	0530_01_20
BAC009S0005w0014	0530_01_21
BAC009S0005w0015	0530_01_22
BAC009S0005w0016	0530_01_23
BAC009S0005w0017	0530_01_24
BAC009S0005w0018	0530_01_25
BAC009S0005w0019	0530_01_26
BAC009S0005w0020	0530_01_27
BAC009S0005w0021	0530_01_28
BAC009S0005w0022	0530_01_29
BAC009S0005w0023	0530_01_3
BAC009S0005w0024	0530_01_30
BAC009S0005w0025	0530_01_31
BAC009S0005w0026	0530_01_32
BAC009S0005w0027	0530_01_33
BAC009S0005w0028	0530_01_34
BAC009S0005w0029	0530_01_35
BAC009S0005w0030	0530_01_36
BAC009S0005w0031	0530_01_37
BAC009S0005w0032	0530_01_38
BAC009S0005w0033	0530_01_39
BAC009S0005w0034	0530_01_4
BAC009S0005w0035	0530_01_40
BAC009S0005w0036	0530_01_41
BAC009S0005w0037	0530_01_42
BAC009S0005w0038	0530_01_43
BAC009S0005w0039	0530_01_44
BAC009S0005w0040	0530_01_45
BAC009S0005w0041	0530_01_46
BAC009S0005w0042	0530_01_47
BAC009S0005w0043	0530_01_48
BAC009S0005w0044	0530_01_49
BAC009S0005w0045	0530_01_5
BAC009S0005w0046	0530_01_50
BAC009S0005w0047	0530_01_51
BAC009S0005w0048	0530_01_52
BAC009S0005w0049	0530_01_53
BAC009S0005w0050	0530_01_54
BAC009S0005w0051	0530_01_55
BAC009S0005w0052	0530_01_56
BAC009S0005w0053	0530_01_57
BAC009S0005w0054	0530_01_58
BAC009S0005w0055	0530_01_6
BAC009S0005w0056	0530_01_7
BAC009S0005w0057	0530_01_8
BAC009S0005w0058	0530_01_9
BAC009S0005w0059	0530_02_1
BAC009S0005w0060	0530_02_10
BAC009S0005w0061	0530_02_11
BAC009S0005w0062	0530_02_12
BAC009S0005w0063	0530_02_13
BAC009S0005w0064	0530_02_14
BAC009S0005w0065	0530_02_15
BAC009S0005w0066	0530_02_16
BAC009S0005w0067	0530_02_17
BAC009S0005w0068	0530_02_18
BAC009S0005w0069	0530_02_19
BAC009S0005w0070	0530_02_2
BAC009S0005w0071	0530_02_20
BAC009S0005w0072	0530_02_21
BAC009S0005w0073	0530_02_22
BAC009S0005w0074	0530_02_23
BAC009S0005w0075	0530_02_24
BAC009S0005w0076	0530_02_25
BAC009S0005w0077	0530_02_26
BAC009S0005w0078	0530_02_27
BAC009S0005w0079	0530_02_28
BAC009S0005w0080	0530_02_29
BAC009S0005w0081	0530_02_3
BAC009S0005w0082	0530_02_30
BAC009S0005w0083	0530_02_31
BAC009S0005w0084	0530_02_32
